"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"92",2021,"Arsenal","Premier League","Calum Chambers","ENG","DF","25",1995,8.4,687,42,243,274,173,18,687,10,4,40,6,60,341,1596,778,16,12,0,7,4,412,49,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers"
"93",2021,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","28",1992,17.2,1119,59,327,659,138,6,1119,7,4,57.1,3,42.9,755,3331,1583,17,15,1,7,4,848,12,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
"94",2021,"Arsenal","Premier League","Rob Holding","ENG","DF","24",1995,28.4,2093,283,1051,980,68,22,2093,11,8,72.7,3,27.3,1350,6434,3872,10,10,0,12,6,1486,1,"https://fbref.com/en/players/d79a8c87/Rob-Holding"
"95",2021,"Arsenal","Premier League","Sead Kolašinac","BIH","DF","27",1993,1,69,2,13,39,17,2,69,0,0,NA,0,NA,31,110,62,2,0,1,0,0,50,9,"https://fbref.com/en/players/3935e52e/Sead-Kolasinac"
"96",2021,"Arsenal","Premier League","Alexandre Lacazette","FRA","FW","29",1991,21.4,735,15,80,330,331,95,732,36,22,61.1,14,38.9,355,1366,471,15,10,9,50,31,533,112,"https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette"
"97",2021,"Arsenal","Premier League","Bernd Leno","GER","GK","28",1992,34.8,1239,1019,1219,19,1,1,1239,0,0,NA,0,NA,711,3158,1958,0,0,0,0,1,635,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"98",2021,"Arsenal","Premier League","David Luiz","BRA","DF","33",1987,15.5,1143,129,556,532,59,19,1143,4,3,75,1,25,766,5053,3047,22,15,2,4,2,843,3,"https://fbref.com/en/players/c0e27d1a/David-Luiz"
"99",2021,"Arsenal","Premier League","Gabriel Magalhães","BRA","DF","22",1997,22.2,1759,210,858,848,56,27,1759,6,5,83.3,1,16.7,1249,6992,4082,18,6,2,5,6,1329,8,"https://fbref.com/en/players/67ac5bb8/Gabriel-Magalhaes"
"100",2021,"Arsenal","Premier League","Ainsley Maitland-Niles","ENG","MF,DF","22",1997,5.4,355,18,120,154,84,6,355,10,6,60,4,40,198,1018,479,12,10,3,10,7,215,21,"https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles"
"101",2021,"Arsenal","Premier League","Pablo Marí","ESP","DF","26",1993,10,700,83,390,302,9,3,700,3,3,100,0,0,455,2154,1336,4,4,0,1,0,518,0,"https://fbref.com/en/players/aa54ec6f/Pablo-Mari"
